,is_canceled,lead_time,arrival_date_year,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,babies,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,agent,days_in_waiting_list,adr,required_car_parking_spaces,total_of_special_requests
is_canceled,1.0,0.2776662654604833,0.004560719051433812,0.004172406048002018,-0.005467784017824404,-0.02358904189102599,0.003918324639907292,0.03705689877598182,-0.032037881522505814,-0.02991265149842027,0.11798267404192266,-0.042588940668640364,-0.13171440971099183,-0.08193885808133257,0.05247536334826098,0.023283977493647186,-0.18829795909063324,-0.25793448936030666
lead_time,0.2776662654604833,1.0,0.041082233327476105,0.1201546104279304,-0.0034723821760273,0.04767447444031766,0.12419497479546567,0.07247708835488922,-0.021975336355203812,-0.055431840996663026,0.10027144705043685,-0.04508190680428483,-0.0002815877904886834,-0.06875321889611732,0.17035151743830151,-0.11265166590417011,-0.11122579020664747,-0.12304738194051819
arrival_date_year,0.004560719051433812,0.041082233327476105,1.0,-0.5303869512416636,0.0052057294725534895,0.020692646496472664,0.032806516453796064,0.061358962645598064,-0.009827919375130282,-0.022427526388088165,-0.13403124583580445,0.015333582832615482,0.03646773043781791,0.06368448422935062,-0.061742226311009,0.22205880695928373,-0.012863848068885929,0.1214903797782268
arrival_date_week_number,0.004172406048002018,0.1201546104279304,-0.5303869512416636,1.0,0.05758727076188459,0.010114211159510958,0.013211852839829374,0.0034964358589823505,0.007864867503246836,-0.01325016387473124,0.042645267315210934,-0.02509496122770103,0.008551417600468687,-0.030992753588266357,0.023821947295661613,0.06256998985943173,-0.0014768342240191851,0.02163850776725389
arrival_date_day_of_month,-0.005467784017824404,-0.0034723821760273,0.0052057294725534895,0.05758727076188459,1.0,-0.016510082614568877,-0.030852086857144023,0.0011512875705786175,-0.0024259596004891633,-0.008447156968234103,-0.02486864206047635,0.0014470545928799634,0.011505249687038645,0.0017310463358350613,0.0247782422856701,0.025589944314385837,0.004745074567291855,0.0025602092202418746
stays_in_weekend_nights,-0.02358904189102599,0.04767447444031766,0.020692646496472664,0.010114211159510958,-0.016510082614568877,1.0,0.4863497163881911,0.07099730683171403,0.020068459916782386,-0.056987353953874206,-0.0030214678877659024,-0.028041473045863446,0.05469323829239331,0.14138660995629276,-0.06461022973840985,0.01623346184401632,-0.011036582112576207,0.056109680091932505
stays_in_week_nights,0.003918324639907292,0.12419497479546567,0.032806516453796064,0.013211852839829374,-0.030852086857144023,0.4863497163881911,1.0,0.07188998002145391,0.021008039917342628,-0.05741462780075978,-0.013591116854320509,-0.029082469390970332,0.08159840932010663,0.1832813004194533,-0.00933018185569075,0.036263222553911414,-0.016376390464295544,0.05031758631699635
adults,0.03705689877598182,0.07247708835488922,0.061358962645598064,0.0034964358589823505,0.0011512875705786175,0.07099730683171403,0.07188998002145391,1.0,0.013307446563035329,-0.07380238290781678,-0.0033662855903347564,-0.054299080923775576,-0.05199484156637623,-0.03448916259596764,-0.0229451939372905,0.23709856457664252,0.03690713074374744,0.11679259726647297
babies,-0.032037881522505814,-0.021975336355203812,-0.009827919375130282,0.007864867503246836,-0.0024259596004891633,0.020068459916782386,0.021008039917342628,0.013307446563035329,1.0,-0.006905574526870378,-0.0071499438574455275,-0.0025951299017391125,0.09421333891815915,0.03633762513962002,-0.010894002109265407,0.025583860259030075,0.03908695195253814,0.09172853656352062
is_repeated_guest,-0.02991265149842027,-0.055431840996663026,-0.022427526388088165,-0.01325016387473124,-0.008447156968234103,-0.056987353953874206,-0.05741462780075978,-0.07380238290781678,-0.006905574526870378,1.0,0.07328414780654666,0.3968053765384932,-0.0005778640932724434,0.0316243577365084,-0.015835018719439875,-0.09261930150304414,0.02874943599410488,0.004312107983992434
previous_cancellations,0.11798267404192266,0.10027144705043685,-0.13403124583580445,0.042645267315210934,-0.02486864206047635,-0.0030214678877659024,-0.013591116854320509,-0.0033662855903347564,-0.0071499438574455275,0.07328414780654666,1.0,0.0939101957671079,-0.029375018789646778,-0.012382401481637368,0.005440742623256359,-0.0725629261227393,-0.02209039817676629,-0.06116859896230083
previous_bookings_not_canceled,-0.042588940668640364,-0.04508190680428483,0.015333582832615482,-0.02509496122770103,0.0014470545928799634,-0.028041473045863446,-0.029082469390970332,-0.054299080923775576,-0.0025951299017391125,0.3968053765384932,0.0939101957671079,1.0,0.0015037547267849,0.021780297379172385,-0.006361187265396988,-0.04072392688259177,0.019995510810849066,0.01727460150996771
booking_changes,-0.13171440971099183,-0.0002815877904886834,0.03646773043781791,0.008551417600468687,0.011505249687038645,0.05469323829239331,0.08159840932010663,-0.05199484156637623,0.09421333891815915,-0.0005778640932724434,-0.029375018789646778,0.0015037547267849,1.0,0.06708379544396487,-0.009570891317361028,0.0480513995147938,0.05940681297219637,0.06541744379553742
agent,-0.08193885808133257,-0.06875321889611732,0.06368448422935062,-0.030992753588266357,0.0017310463358350613,0.14138660995629276,0.1832813004194533,-0.03448916259596764,0.03633762513962002,0.0316243577365084,-0.012382401481637368,0.021780297379172385,0.06708379544396487,1.0,-0.05503723072378423,-0.023770459699255203,0.1768746175304756,0.03387629854407492
days_in_waiting_list,0.05247536334826098,0.17035151743830151,-0.061742226311009,0.023821947295661613,0.0247782422856701,-0.06461022973840985,-0.00933018185569075,-0.0229451939372905,-0.010894002109265407,-0.015835018719439875,0.005440742623256359,-0.006361187265396988,-0.009570891317361028,-0.05503723072378423,1.0,-0.05208808736478112,-0.032771176437901096,-0.09269992996511274
adr,0.023283977493647186,-0.11265166590417011,0.22205880695928373,0.06256998985943173,0.025589944314385837,0.01623346184401632,0.036263222553911414,0.23709856457664252,0.025583860259030075,-0.09261930150304414,-0.0725629261227393,-0.04072392688259177,0.0480513995147938,-0.023770459699255203,-0.05208808736478112,1.0,0.08379558662574216,0.16685467259441641
required_car_parking_spaces,-0.18829795909063324,-0.11122579020664747,-0.012863848068885929,-0.0014768342240191851,0.004745074567291855,-0.011036582112576207,-0.016376390464295544,0.03690713074374744,0.03908695195253814,0.02874943599410488,-0.02209039817676629,0.019995510810849066,0.05940681297219637,0.1768746175304756,-0.032771176437901096,0.08379558662574216,1.0,0.0890215453402787
total_of_special_requests,-0.25793448936030666,-0.12304738194051819,0.1214903797782268,0.02163850776725389,0.0025602092202418746,0.056109680091932505,0.05031758631699635,0.11679259726647297,0.09172853656352062,0.004312107983992434,-0.06116859896230083,0.01727460150996771,0.06541744379553742,0.03387629854407492,-0.09269992996511274,0.16685467259441641,0.0890215453402787,1.0
