reservation_status_date,reservation_status_date,proportion
2014-10-17,180,0.17493731412910374
2014-11-18,1,0.0009718739673839096
2015-01-01,763,0.741539837113923
2015-01-02,7,0.006803117771687368
2015-01-20,2,0.0019437479347678191
2015-01-21,1,0.0009718739673839096
2015-01-22,3,0.002915621902151729
2015-01-28,1,0.0009718739673839096
2015-01-29,1,0.0009718739673839096
2015-01-30,67,0.06511555581472195
2015-02-02,2,0.0019437479347678191
2015-02-05,4,0.0038874958695356383
2015-02-06,1,0.0009718739673839096
2015-02-09,1,0.0009718739673839096
2015-02-10,2,0.0019437479347678191
2015-02-11,3,0.002915621902151729
2015-02-12,1,0.0009718739673839096
2015-02-17,2,0.0019437479347678191
2015-02-19,1,0.0009718739673839096
2015-02-20,20,0.019437479347678192
2015-02-23,2,0.0019437479347678191
2015-02-24,1,0.0009718739673839096
2015-02-25,2,0.0019437479347678191
2015-02-26,1,0.0009718739673839096
2015-02-27,1,0.0009718739673839096
2015-03-03,38,0.03693121076058857
2015-03-04,2,0.0019437479347678191
2015-03-05,1,0.0009718739673839096
2015-03-06,2,0.0019437479347678191
2015-03-09,4,0.0038874958695356383
2015-03-10,1,0.0009718739673839096
2015-03-11,1,0.0009718739673839096
2015-03-12,1,0.0009718739673839096
2015-03-13,1,0.0009718739673839096
2015-03-17,4,0.0038874958695356383
2015-03-18,1,0.0009718739673839096
2015-03-23,2,0.0019437479347678191
2015-03-24,3,0.002915621902151729
2015-03-25,17,0.016521857445526464
2015-03-28,1,0.0009718739673839096
2015-03-29,1,0.0009718739673839096
2015-03-30,1,0.0009718739673839096
2015-03-31,4,0.0038874958695356383
2015-04-02,18,0.017493731412910375
2015-04-03,2,0.0019437479347678191
2015-04-04,8,0.007774991739071277
2015-04-05,6,0.005831243804303458
2015-04-06,4,0.0038874958695356383
2015-04-07,1,0.0009718739673839096
2015-04-08,3,0.002915621902151729
2015-04-10,5,0.004859369836919548
2015-04-11,3,0.002915621902151729
2015-04-13,2,0.0019437479347678191
2015-04-14,3,0.002915621902151729
2015-04-15,9,0.008746865706455187
2015-04-16,7,0.006803117771687368
2015-04-17,2,0.0019437479347678191
2015-04-18,2,0.0019437479347678191
2015-04-20,6,0.005831243804303458
2015-04-21,1,0.0009718739673839096
2015-04-22,7,0.006803117771687368
2015-04-23,3,0.002915621902151729
2015-04-24,4,0.0038874958695356383
2015-04-25,1,0.0009718739673839096
2015-04-27,1,0.0009718739673839096
2015-04-29,7,0.006803117771687368
2015-04-30,1,0.0009718739673839096
2015-05-01,9,0.008746865706455187
2015-05-04,2,0.0019437479347678191
2015-05-05,4,0.0038874958695356383
2015-05-06,6,0.005831243804303458
2015-05-07,6,0.005831243804303458
2015-05-08,3,0.002915621902151729
2015-05-09,4,0.0038874958695356383
2015-05-11,5,0.004859369836919548
2015-05-12,11,0.010690613641223005
2015-05-13,13,0.012634361575990826
2015-05-14,50,0.048593698369195484
2015-05-15,1,0.0009718739673839096
2015-05-16,3,0.002915621902151729
2015-05-18,12,0.011662487608606916
2015-05-19,32,0.031099966956285106
2015-05-20,8,0.007774991739071277
2015-05-21,3,0.002915621902151729
2015-05-22,10,0.009718739673839096
2015-05-23,7,0.006803117771687368
2015-05-25,5,0.004859369836919548
2015-05-26,2,0.0019437479347678191
2015-05-27,10,0.009718739673839096
2015-05-28,28,0.02721247108674947
2015-05-29,33,0.032071840923669014
2015-05-30,3,0.002915621902151729
2015-06-01,13,0.012634361575990826
2015-06-02,10,0.009718739673839096
2015-06-03,8,0.007774991739071277
2015-06-04,6,0.005831243804303458
2015-06-05,7,0.006803117771687368
2015-06-06,3,0.002915621902151729
2015-06-08,10,0.009718739673839096
2015-06-09,35,0.034015588858436835
2015-06-10,4,0.0038874958695356383
2015-06-11,13,0.012634361575990826
2015-06-12,10,0.009718739673839096
2015-06-13,4,0.0038874958695356383
2015-06-15,51,0.04956557233657939
2015-06-16,43,0.04179058059750811
2015-06-17,91,0.08844053103193578
2015-06-18,7,0.006803117771687368
2015-06-19,14,0.013606235543374735
2015-06-20,7,0.006803117771687368
2015-06-22,13,0.012634361575990826
2015-06-23,22,0.02138122728244601
2015-06-24,6,0.005831243804303458
2015-06-25,14,0.013606235543374735
2015-06-26,26,0.025268723151981653
2015-06-27,29,0.028184345054133378
2015-06-29,96,0.09329990086885533
2015-06-30,54,0.05248119423873112
2015-07-01,12,0.011662487608606916
2015-07-02,464,0.45094952086613405
2015-07-03,149,0.14480922114020253
2015-07-04,16,0.015549983478142553
2015-07-05,31,0.0301280929889012
2015-07-06,803,0.7804147958092794
2015-07-07,48,0.04664995043442766
2015-07-08,92,0.0894124049993197
2015-07-09,79,0.07677804342332886
2015-07-10,91,0.08844053103193578
2015-07-11,35,0.034015588858436835
2015-07-12,40,0.038874958695356385
2015-07-13,46,0.04470620249965985
2015-07-14,66,0.06414368184733803
2015-07-15,32,0.031099966956285106
2015-07-16,78,0.07580616945594496
2015-07-17,106,0.10301864054269441
2015-07-18,47,0.045678076467043756
2015-07-19,92,0.0894124049993197
2015-07-20,77,0.07483429548856103
2015-07-21,50,0.048593698369195484
2015-07-22,129,0.12537174179252433
2015-07-23,200,0.19437479347678194
2015-07-24,109,0.10593426244484615
2015-07-25,80,0.07774991739071277
2015-07-26,68,0.06608742978210586
2015-07-27,45,0.043734328532275935
2015-07-28,52,0.050537446303963306
2015-07-29,93,0.09038427896670359
2015-07-30,94,0.09135615293408751
2015-07-31,116,0.11273738021653351
2015-08-01,100,0.09718739673839097
2015-08-02,44,0.04276245456489202
2015-08-03,47,0.045678076467043756
2015-08-04,93,0.09038427896670359
2015-08-05,41,0.03984683266274029
2015-08-06,83,0.0806655392928645
2015-08-07,78,0.07580616945594496
2015-08-08,48,0.04664995043442766
2015-08-09,87,0.08455303516240015
2015-08-10,113,0.10982175831438178
2015-08-11,144,0.139949851303283
2015-08-12,119,0.11565300211868525
2015-08-13,66,0.06414368184733803
2015-08-14,155,0.150640464944506
2015-08-15,55,0.053453068206115034
2015-08-16,145,0.14092172527066688
2015-08-17,110,0.10690613641223007
2015-08-18,79,0.07677804342332886
2015-08-19,105,0.10204676657531052
2015-08-20,73,0.0709467996190254
2015-08-21,187,0.18174043190079112
2015-08-22,79,0.07677804342332886
2015-08-23,61,0.059284312010418484
2015-08-24,70,0.06803117771687367
2015-08-25,84,0.08163741326024841
2015-08-26,76,0.07386242152117714
2015-08-27,49,0.04762182440181157
2015-08-28,103,0.10010301864054269
2015-08-29,76,0.07386242152117714
2015-08-30,66,0.06414368184733803
2015-08-31,105,0.10204676657531052
2015-09-01,94,0.09135615293408751
2015-09-02,68,0.06608742978210586
2015-09-03,96,0.09329990086885533
2015-09-04,114,0.11079363228176571
2015-09-05,112,0.10884988434699788
2015-09-06,88,0.08552490912978404
2015-09-07,126,0.12245611989037263
2015-09-08,128,0.12439986782514043
2015-09-09,264,0.2565747273893521
2015-09-10,60,0.058312438043034584
2015-09-11,119,0.11565300211868525
2015-09-12,81,0.07872179135809669
2015-09-13,108,0.10496238847746224
2015-09-14,102,0.09913114467315878
2015-09-15,112,0.10884988434699788
2015-09-16,127,0.12342799385775653
2015-09-17,170,0.16521857445526464
2015-09-18,127,0.12342799385775653
2015-09-19,117,0.11370925418391743
2015-09-20,134,0.1302311116294439
2015-09-21,130,0.12634361575990827
2015-09-22,113,0.10982175831438178
2015-09-23,121,0.11759675005345308
2015-09-24,150,0.14578109510758644
2015-09-25,138,0.13411860749897953
2015-09-26,98,0.09524364880362314
2015-09-27,40,0.038874958695356385
2015-09-28,132,0.12828736369467605
2015-09-29,103,0.10010301864054269
2015-09-30,177,0.17202169222695202
2015-10-01,116,0.11273738021653351
2015-10-02,88,0.08552490912978404
2015-10-03,76,0.07386242152117714
2015-10-04,148,0.14383734717281862
2015-10-05,110,0.10690613641223007
2015-10-06,95,0.09232802690147142
2015-10-07,126,0.12245611989037263
2015-10-08,99,0.09621552277100706
2015-10-09,164,0.15938733065096117
2015-10-10,136,0.1321748595642117
2015-10-11,119,0.11565300211868525
2015-10-12,229,0.2225591385309153
2015-10-13,139,0.13509048146636346
2015-10-14,87,0.08455303516240015
2015-10-15,64,0.06219993391257021
2015-10-16,174,0.1691060703248003
2015-10-17,68,0.06608742978210586
2015-10-18,129,0.12537174179252433
2015-10-19,197,0.19145917157463022
2015-10-20,86,0.08358116119501623
2015-10-21,1426,1.3858922774894553
2015-10-22,171,0.16619044842264855
2015-10-23,178,0.17299356619433592
2015-10-24,68,0.06608742978210586
2015-10-25,65,0.06317180787995413
2015-10-26,87,0.08455303516240015
2015-10-27,118,0.11468112815130134
2015-10-28,159,0.15452796081404163
2015-10-29,63,0.06122805994518631
2015-10-30,72,0.0699749256516415
2015-10-31,152,0.14772484304235428
2015-11-01,58,0.056368690108266756
2015-11-02,81,0.07872179135809669
2015-11-03,64,0.06219993391257021
2015-11-04,73,0.0709467996190254
2015-11-05,49,0.04762182440181157
2015-11-06,94,0.09135615293408751
2015-11-07,67,0.06511555581472195
2015-11-08,51,0.04956557233657939
2015-11-09,95,0.09232802690147142
2015-11-10,39,0.03790308472797248
2015-11-11,142,0.13800610336851518
2015-11-12,44,0.04276245456489202
2015-11-13,36,0.03498746282582075
2015-11-14,75,0.07289054755379322
2015-11-15,134,0.1302311116294439
2015-11-16,142,0.13800610336851518
2015-11-17,241,0.23422162613952222
2015-11-18,34,0.03304371489105293
2015-11-19,69,0.06705930374948976
2015-11-20,50,0.048593698369195484
2015-11-21,102,0.09913114467315878
2015-11-22,152,0.14772484304235428
2015-11-23,103,0.10010301864054269
2015-11-24,94,0.09135615293408751
2015-11-25,37,0.035959336793204656
2015-11-26,99,0.09621552277100706
2015-11-27,90,0.08746865706455187
2015-11-28,42,0.040818706630124206
2015-11-29,75,0.07289054755379322
2015-11-30,110,0.10690613641223007
2015-12-01,46,0.04470620249965985
2015-12-02,115,0.1117655062491496
2015-12-03,65,0.06317180787995413
2015-12-04,40,0.038874958695356385
2015-12-05,24,0.02332497521721383
2015-12-06,29,0.028184345054133378
2015-12-07,86,0.08358116119501623
2015-12-08,231,0.22450288646568314
2015-12-09,94,0.09135615293408751
2015-12-10,100,0.09718739673839097
2015-12-11,25,0.024296849184597742
2015-12-12,66,0.06414368184733803
2015-12-13,59,0.05734056407565067
2015-12-14,93,0.09038427896670359
2015-12-15,60,0.058312438043034584
2015-12-16,35,0.034015588858436835
2015-12-17,72,0.0699749256516415
2015-12-18,410,0.398468326627403
2015-12-19,43,0.04179058059750811
2015-12-20,43,0.04179058059750811
2015-12-21,29,0.028184345054133378
2015-12-22,35,0.034015588858436835
2015-12-23,88,0.08552490912978404
2015-12-24,22,0.02138122728244601
2015-12-25,45,0.043734328532275935
2015-12-26,56,0.05442494217349894
2015-12-27,63,0.06122805994518631
2015-12-28,66,0.06414368184733803
2015-12-29,163,0.15841545668357726
2015-12-30,116,0.11273738021653351
2015-12-31,63,0.06122805994518631
2016-01-01,86,0.08358116119501623
2016-01-02,77,0.07483429548856103
2016-01-03,177,0.17202169222695202
2016-01-04,73,0.0709467996190254
2016-01-05,198,0.19243104554201412
2016-01-06,219,0.21284039885707623
2016-01-07,93,0.09038427896670359
2016-01-08,149,0.14480922114020253
2016-01-09,51,0.04956557233657939
2016-01-10,62,0.0602561859778024
2016-01-11,116,0.11273738021653351
2016-01-12,50,0.048593698369195484
2016-01-13,67,0.06511555581472195
2016-01-14,88,0.08552490912978404
2016-01-15,61,0.059284312010418484
2016-01-16,170,0.16521857445526464
2016-01-17,105,0.10204676657531052
2016-01-18,592,0.5753493886912745
2016-01-19,200,0.19437479347678194
2016-01-20,88,0.08552490912978404
2016-01-21,143,0.1389779773358991
2016-01-22,186,0.18076855793340718
2016-01-23,60,0.058312438043034584
2016-01-24,93,0.09038427896670359
2016-01-25,75,0.07289054755379322
2016-01-26,130,0.12634361575990827
2016-01-27,77,0.07483429548856103
2016-01-28,147,0.14286547320543472
2016-01-29,101,0.09815927070577488
2016-01-30,54,0.05248119423873112
2016-01-31,68,0.06608742978210586
2016-02-01,250,0.2429684918459774
2016-02-02,74,0.07191867358640931
2016-02-03,119,0.11565300211868525
2016-02-04,85,0.08260928722763232
2016-02-05,95,0.09232802690147142
2016-02-06,51,0.04956557233657939
2016-02-07,107,0.10399051451007835
2016-02-08,91,0.08844053103193578
2016-02-09,372,0.36153711586681436
2016-02-10,215,0.20895290298754057
2016-02-11,86,0.08358116119501623
2016-02-12,101,0.09815927070577488
2016-02-13,97,0.09427177483623923
2016-02-14,221,0.21478414679184402
2016-02-15,141,0.13703422940113125
2016-02-16,94,0.09135615293408751
2016-02-17,103,0.10010301864054269
2016-02-18,89,0.08649678309716796
2016-02-19,90,0.08746865706455187
2016-02-20,91,0.08844053103193578
2016-02-21,112,0.10884988434699788
2016-02-22,124,0.1205123719556048
2016-02-23,143,0.1389779773358991
2016-02-24,104,0.10107489260792661
2016-02-25,184,0.1788248099986394
2016-02-26,90,0.08746865706455187
2016-02-27,167,0.16230295255311292
2016-02-28,172,0.16716232239003245
2016-02-29,207,0.2011779112484693
2016-03-01,133,0.12925923766206
2016-03-02,151,0.14675296907497035
2016-03-03,136,0.1321748595642117
2016-03-04,161,0.15647170874880947
2016-03-05,89,0.08649678309716796
2016-03-06,145,0.14092172527066688
2016-03-07,118,0.11468112815130134
2016-03-08,115,0.1117655062491496
2016-03-09,148,0.14383734717281862
2016-03-10,87,0.08455303516240015
2016-03-11,114,0.11079363228176571
2016-03-12,132,0.12828736369467605
2016-03-13,157,0.15258421287927382
2016-03-14,254,0.24685598771551306
2016-03-15,312,0.3032246778237798
2016-03-16,143,0.1389779773358991
2016-03-17,109,0.10593426244484615
2016-03-18,212,0.20603728108538882
2016-03-19,100,0.09718739673839097
2016-03-20,160,0.15549983478142554
2016-03-21,164,0.15938733065096117
2016-03-22,157,0.15258421287927382
2016-03-23,149,0.14480922114020253
2016-03-24,158,0.15355608684665772
2016-03-25,127,0.12342799385775653
2016-03-26,106,0.10301864054269441
2016-03-27,172,0.16716232239003245
2016-03-28,201,0.19534666744416584
2016-03-29,151,0.14675296907497035
2016-03-30,120,0.11662487608606917
2016-03-31,146,0.1418935992380508
2016-04-01,113,0.10982175831438178
2016-04-02,93,0.09038427896670359
2016-04-03,127,0.12342799385775653
2016-04-04,132,0.12828736369467605
2016-04-05,88,0.08552490912978404
2016-04-06,176,0.17104981825956808
2016-04-07,150,0.14578109510758644
2016-04-08,135,0.1312029855968278
2016-04-09,149,0.14480922114020253
2016-04-10,133,0.12925923766206
2016-04-11,140,0.13606235543374734
2016-04-12,118,0.11468112815130134
2016-04-13,134,0.1302311116294439
2016-04-14,136,0.1321748595642117
2016-04-15,147,0.14286547320543472
2016-04-16,124,0.1205123719556048
2016-04-17,291,0.2828153245087177
2016-04-18,160,0.15549983478142554
2016-04-19,112,0.10884988434699788
2016-04-20,137,0.13314673353159562
2016-04-21,122,0.11856862402083697
2016-04-22,141,0.13703422940113125
2016-04-23,112,0.10884988434699788
2016-04-24,141,0.13703422940113125
2016-04-25,142,0.13800610336851518
2016-04-26,144,0.139949851303283
2016-04-27,270,0.2624059711936556
2016-04-28,152,0.14772484304235428
2016-04-29,146,0.1418935992380508
2016-04-30,141,0.13703422940113125
2016-05-01,115,0.1117655062491496
2016-05-02,172,0.16716232239003245
2016-05-03,169,0.16424670048788073
2016-05-04,180,0.17493731412910374
2016-05-05,187,0.18174043190079112
2016-05-06,153,0.1486967170097382
2016-05-07,98,0.09524364880362314
2016-05-08,183,0.17785293603125546
2016-05-09,139,0.13509048146636346
2016-05-10,149,0.14480922114020253
2016-05-11,114,0.11079363228176571
2016-05-12,127,0.12342799385775653
2016-05-13,118,0.11468112815130134
2016-05-14,117,0.11370925418391743
2016-05-15,156,0.1516123389118899
2016-05-16,169,0.16424670048788073
2016-05-17,153,0.1486967170097382
2016-05-18,139,0.13509048146636346
2016-05-19,138,0.13411860749897953
2016-05-20,134,0.1302311116294439
2016-05-21,101,0.09815927070577488
2016-05-22,141,0.13703422940113125
2016-05-23,162,0.15744358271619338
2016-05-24,115,0.1117655062491496
2016-05-25,135,0.1312029855968278
2016-05-26,165,0.1603592046183451
2016-05-27,87,0.08455303516240015
2016-05-28,61,0.059284312010418484
2016-05-29,214,0.2079810290201567
2016-05-30,120,0.11662487608606917
2016-05-31,92,0.0894124049993197
2016-06-01,61,0.059284312010418484
2016-06-02,235,0.22839038233521874
2016-06-03,121,0.11759675005345308
2016-06-04,100,0.09718739673839097
2016-06-05,151,0.14675296907497035
2016-06-06,154,0.14966859097712207
2016-06-07,98,0.09524364880362314
